printer_string,printer_shortname,notes,books_on_workbench,workbench_set,export_cdt,group_ID,books_in_libraries
"""Nutt, John (cnp01333250)""",jnutt,,1,y,https://printprobdb.psc.edu/api/character_groupings/78b73e94-6814-4d93-aabc-3dbeb033a6ae/download/,78b73e94-6814-4d93-aabc-3dbeb033a6ae,
"""Onley, William""",wonley,,1,y,https://printprobdb.psc.edu/api/character_groupings/5fca95ee-7d01-4d2c-a0a6-feb1872de582/download/,5fca95ee-7d01-4d2c-a0a6-feb1872de582,
"""Oulton, Richard""",roulton,oulton,1,y,https://printprobdb.psc.edu/api/character_groupings/a10f5530-7b6b-4805-9587-9db2e62880f0/download/,a10f5530-7b6b-4805-9587-9db2e62880f0,
"""Simmons, Mary""",marysimmons,,1,y,https://printprobdb.psc.edu/api/character_groupings/47ab32f3-2fe9-4b48-921b-25046a3f82a4/download/,47ab32f3-2fe9-4b48-921b-25046a3f82a4,
"""Simmons, Samuel""",ssimmons,,1,y,https://printprobdb.psc.edu/api/character_groupings/2daa1555-5d73-4abc-9834-e96e999c5124/download/,2daa1555-5d73-4abc-9834-e96e999c5124,
"""Sowle, Jane""",jsowle,(Printed for/sold by on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/cea4e9cb-8d71-4203-b24a-5f992b294db0/download/,cea4e9cb-8d71-4203-b24a-5f992b294db0,
"""White, Barnard""",bwhite,,1,y,https://printprobdb.psc.edu/api/character_groupings/aa5d916e-24ef-49af-bb6b-cb8142da659a/download/,aa5d916e-24ef-49af-bb6b-cb8142da659a,
"""Wilde, Richard (cni00103295)""",rwilde,,1,y,https://printprobdb.psc.edu/api/character_groupings/d56ccafa-e4a1-4629-897b-c59c8a515a12/download/,d56ccafa-e4a1-4629-897b-c59c8a515a12,
"""Hoeve, Justam ab""",hoeve,(Not on 241 list + no additional texts on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/2f191bda-b58a-4f22-b973-dfa89a2bca45/download/,2f191bda-b58a-4f22-b973-dfa89a2bca45,
"""Creake, Thomas""",tcreake,,1,y,https://printprobdb.psc.edu/api/character_groupings/61eedaca-4b4e-4076-9cdb-384f9dc6dc7c/download/,61eedaca-4b4e-4076-9cdb-384f9dc6dc7c,
"""White, Margaret""",mwhite,,1,y,https://printprobdb.psc.edu/api/character_groupings/22ddbbb4-6897-4cea-b660-cd756c382ab5/download/,22ddbbb4-6897-4cea-b660-cd756c382ab5,
"""Howell, Nathaniel""",nhowell,(Only one text on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/2dd3653e-a0c5-4570-8b55-31cb02fdb2aa/download/,2dd3653e-a0c5-4570-8b55-31cb02fdb2aa,
"""Okes, John""",jokes,,1,y,https://printprobdb.psc.edu/api/character_groupings/53ddd0e3-b5b2-4094-aa10-83a94b892d36/download/,53ddd0e3-b5b2-4094-aa10-83a94b892d36,
"""Hales, Thomas""",thales,(All outside 241 date range on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/2653be7b-01db-4731-860f-1feafca2818d/download/,2653be7b-01db-4731-860f-1feafca2818d,
"""Clark, Benjamin (cni00014712)""",bclark,(All printed/sold by on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/92732d66-b678-4465-9cd7-a158c2e62b00/download/,92732d66-b678-4465-9cd7-a158c2e62b00,
"""Cottrell, James (cni00030441)""",cotterell,,2,y,https://printprobdb.psc.edu/api/character_groupings/f1f7b303-5450-4b1c-90b2-0f49789a70b7/download/,f1f7b303-5450-4b1c-90b2-0f49789a70b7,
"""Dawks, Thomas (cni00034111)""",tdawks,(All outside 241 date range on ESTC),2,y,https://printprobdb.psc.edu/api/character_groupings/ef3a3efb-5834-4b8a-9721-65bc29768b55/download/,ef3a3efb-5834-4b8a-9721-65bc29768b55,
"""Miles, Elizabeth""",emiles,(No additional texts located on ESTC),1,y,https://printprobdb.psc.edu/api/character_groupings/2fcdf66b-e0ac-4988-a17d-62f0f80226bf/download/,2fcdf66b-e0ac-4988-a17d-62f0f80226bf,
"""Redmayne, Elizabeth""",eredmayne,,2,y,https://printprobdb.psc.edu/api/character_groupings/99464645-73e3-4367-a05a-475775fe72b5/download/,99464645-73e3-4367-a05a-475775fe72b5,
"""Taylor, John""",jtaylor,,1,y,https://printprobdb.psc.edu/api/character_groupings/ed3fc16e-7956-4ade-9a6e-3e79ff9f78c6/download/,ed3fc16e-7956-4ade-9a6e-3e79ff9f78c6,
